id,gender,citizenship,region,province,city_municipality,employment_and_or_business_information,additional_household_member_source_of_income,do_you_have_a_co_borrower,my_spouse_is_my_co_borrower,business_gross_sales,total_cash_inflow,total_cash_outflow,net_income,years_in_residence,home_ownership,agency_years,marital_status,no_of_children,with_children_attending_school,how_many_years_in_the_company,position,outstanding_obligation_other_loans,do_you_have_deposit_or_credit_cards_with_other_bank
6106,Male,Filipino,Region IV‑B – MIMAROPA,Occidental Mindoro,Paluan,Locally Employed with Business ,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,48.0,1381,-1333.0,Less than 6 months,Free,1-5 years,Married,0-1,Yes,1-2 years,Professional/Managerial/Officer,12,Yes
6139,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,12000.0,7400,4600.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Others,0,No
6172,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,50000.0,10000,40000.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Professional/Managerial/Officer,1100,No
6205,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,71800.0,10000,61800.0,More than 2 years,Free,More than 5 years,Married,0-1,No,More than 5 years,Professional/Managerial/Officer,13800,Yes
6271,Female,Filipino,NCR – National Capital Region,Metro Manila,Pasig,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,42000.0,5500,36500.0,More than 2 years,Free,1-5 years,Single,0-1,No,2-5 years,Professional/Managerial/Officer,7000,No
6304,Male,Filipino,Region III – Central Luzon,Pampanga,Arayat,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,21000.0,109100,-88100.0,More than 2 years,Others,Less than a year,Single,0-1,No,Less than 1 year,Professional/Non-Officer/Skilled,20000,No
6337,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,Yes,No,0,50000.0,6000,44000.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Others,0,No
6338,Male,Filipino,NCR – National Capital Region,Metro Manila,Muntinlupa,Regular Employee,No other source of income,Yes,No,0,18000.0,2200,15800.0,More than 2 years,Others,1-5 years,Single,0-1,No,2-5 years,Professional/Non-Officer/Skilled,0,No
6339,Male,Filipino,Region XI – Davao Region,Davao del Sur,Governor Generoso,Regular Employee,No other source of income,Yes,No,0,20000.0,7000,13000.0,More than 2 years,Owned,1-5 years,Single,0-1,Yes,2-5 years,Others,0,Yes
6340,Female,Filipino,Region VII – Central Visayas,Cebu,Cebu City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,36000.0,14000,22000.0,More than 2 years,Others,More than 5 years,Single,0-1,No,More than 5 years,Professional/Non-Officer/Skilled,0,Yes
6370,Male,Filipino,Region III – Central Luzon,Pampanga,Arayat,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,21000.0,8000,13000.0,More than 2 years,Owned,Less than a year,Single,0-1,No,Less than 1 year,Professional/Non-Officer/Skilled,0,No
6403,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,Yes,No,0,40010.0,17110,22900.0,More than 2 years,Others,1-5 years,Single,2-3,Yes,1-2 years,Others,0,No
6436,Female,Filipino,NCR – National Capital Region,Metro Manila,Valenzuela,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,26000.0,27000,-1000.0,1-2 years,Rented,1-5 years,Single,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,0,No
6437,Male,Filipino,Region IV‑A – CALABARZON,Cavite,Tanza,Regular Employee,No other source of income,Yes,No,0,70000.0,10000,60000.0,6-12 months,Free,1-5 years,Single,0-1,No,1-2 years,Professional/Managerial/Officer,0,Yes
6502,Female,Filipino,Region IV‑A – CALABARZON,Cavite,Imus,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,33000.0,9000,24000.0,More than 2 years,Others,Less than a year,Single,more than 3,Yes,Less than 1 year,Others,0,No
6535,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Pontevedra,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,65000.0,23500,41500.0,More than 2 years,Others,Less than a year,Married,2-3,Yes,Less than 1 year,Professional/Managerial/Officer,3500,No
6536,Female,Filipino,NCR – National Capital Region,Metro Manila,Caloocan,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,40000.0,14600,25400.0,More than 2 years,Rented,More than 5 years,Single,0-1,No,More than 5 years,Professional/Non-Officer/Skilled,5000,No
6601,Female,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,39000.0,7300,31700.0,More than 2 years,Owned,1-5 years,Single,more than 3,Yes,2-5 years,Others,0,No
6634,Female,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,19000.0,10500,8500.0,More than 2 years,Rented,1-5 years,Single,more than 3,Yes,2-5 years,Others,0,Yes
6667,Female,Filipino,Region XI – Davao Region,Davao del Norte,Santo Tomas,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,51325.0,19300,32025.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Professional/Non-Officer/Skilled,0,Yes
6668,Female,Filipino,NCR – National Capital Region,Metro Manila,Manila,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,36000.0,16000,20000.0,More than 2 years,Owned,1-5 years,Single,2-3,Yes,1-2 years,Others,4000,Yes
6700,Male,Filipino,Region III – Central Luzon,Bulacan,Calumpit,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,78000.0,26500,51500.0,More than 2 years,Rented,More than 5 years,Married,more than 3,,More than 5 years,Professional/Non-Officer/Skilled,0,No
6701,Male,Filipino,Region III – Central Luzon,Bulacan,Calumpit,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,78000.0,26500,51500.0,More than 2 years,Rented,More than 5 years,Married,more than 3,,More than 5 years,Professional/Non-Officer/Skilled,0,No
6733,Male,Filipino,NCR – National Capital Region,Metro Manila,Caloocan,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,20000.0,8000,12000.0,More than 2 years,Others,Less than a year,Single,0-1,Yes,Less than 1 year,Professional/Managerial/Officer,0,No
6766,Female,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,39000.0,5800,33200.0,More than 2 years,Owned,1-5 years,Single,more than 3,Yes,2-5 years,Others,0,No
6799,Male,Filipino,Region III – Central Luzon,Bulacan,Calumpit,OFW/Seafarers with Business,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,94000.0,26500,67500.0,Less than 6 months,Rented,More than 5 years,Married,more than 3,,More than 5 years,Professional/Non-Officer/Skilled,0,No
6832,Female,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,22000.0,11700,10300.0,More than 2 years,Rented,1-5 years,Married,2-3,Yes,2-5 years,Others,0,No
6833,Female,Filipino,NCR – National Capital Region,Metro Manila,Marikina,Regular Employee,No other source of income,Yes,No,0,150000.0,39500,110500.0,More than 2 years,Rented,1-5 years,Single,2-3,Yes,1-2 years,Professional/Managerial/Officer,0,Yes
6865,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,40000.0,16500,23500.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Others,0,No
6866,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Bacolod City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,20000.0,5500,14500.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Others,0,No
6898,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Talisay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,25000.0,9000,16000.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,1-2 years,Others,0,No
6899,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,Yes,No,0,0.0,9000,-9000.0,More than 2 years,Owned,1-5 years,Single,2-3,Yes,1-2 years,Others,0,No
6931,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,66000.0,9500,56500.0,More than 2 years,Others,1-5 years,Married,0-1,No,1-2 years,Professional/Managerial/Officer,0,Yes
6997,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,55000.0,4300,50700.0,More than 2 years,Owned,More than 5 years,Single,0-1,No,More than 5 years,Professional/Managerial/Officer,0,Yes
7030,Male,Filipino,Region IV‑A – CALABARZON,Quezon,Tayabas,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,24575.0,11000,13575.0,More than 2 years,Owned,Less than a year,Single,0-1,No,Less than 1 year,Professional/Managerial/Officer,1500,No
7063,Female,Filipino,NCR – National Capital Region,Metro Manila,Quezon City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,25000.0,4700,20300.0,More than 2 years,Others,1-5 years,Single,0-1,No,1-2 years,Professional/Non-Officer/Skilled,0,No
7096,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,17000.0,6100,10900.0,More than 2 years,Rented,1-5 years,Single,0-1,No,2-5 years,Professional/Managerial/Officer,0,Yes
7129,Female,Filipino,NCR – National Capital Region,Metro Manila,Caloocan,Regular Employee,No other source of income,Yes,No,0,68400.0,9000,59400.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Professional/Non-Officer/Skilled,2000,Yes
7162,Female,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,58500.0,6500,52000.0,More than 2 years,Owned,More than 5 years,Single,more than 3,Yes,More than 5 years,Others,0,No
7195,Male,Filipino,Region III – Central Luzon,Bulacan,Meycauayan,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,100000.0,25000,75000.0,More than 2 years,Owned,1-5 years,Single,0-1,Yes,2-5 years,Professional/Managerial/Officer,0,Yes
7294,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Bacolod City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,19040.0,4500,14540.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Professional/Managerial/Officer,0,No
7327,Female,Filipino,Region III – Central Luzon,Bulacan,Meycauayan,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,293000.0,16500,276500.0,More than 2 years,Rented,1-5 years,Single,0-1,No,2-5 years,Professional/Managerial/Officer,0,Yes
7393,Male,Filipino,Region IV‑A – CALABARZON,Quezon,Tayabas,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,24578.0,10000,14578.0,More than 2 years,Owned,Less than a year,Single,0-1,No,Less than 1 year,Others,3000,No
7426,Female,Filipino,NCR – National Capital Region,Metro Manila,Manila,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,39500.0,4000,35500.0,More than 2 years,Free,1-5 years,Single,0-1,No,1-2 years,Professional/Non-Officer/Skilled,0,Yes
7459,Female,Filipino,Region VII – Central Visayas,Cebu,Minglanilla,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,80000.0,14000,66000.0,More than 2 years,Owned,1-5 years,Married,2-3,No,1-2 years,Professional/Managerial/Officer,0,Yes
7492,Female,Filipino,Region IV‑A – CALABARZON,Cavite,Bacoor,Regular Employee,No other source of income,Yes,No,0,26000.0,7600,18400.0,More than 2 years,Free,Less than a year,Single,0-1,No,Less than 1 year,Professional/Managerial/Officer,0,No
7525,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,Yes,No,0,911000.0,34000,877000.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Professional/Managerial/Officer,0,Yes
7526,Male,Filipino,Region VII – Central Visayas,Cebu,Cebu City,Regular Employee,No other source of income,Yes,No,0,34000.0,23000,11000.0,More than 2 years,Owned,More than 5 years,Single,0-1,No,More than 5 years,Professional/Non-Officer/Skilled,0,Yes
7558,Male,Filipino,Region XI – Davao Region,Davao del Norte,New Corella,Regular Employee,No other source of income,Yes,No,0,34000.0,10000,24000.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Others,0,No
7559,Male,Filipino,Region XI – Davao Region,Davao del Norte,New Corella,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,22500.0,1300,21200.0,More than 2 years,Owned,1-5 years,Married,2-3,No,1-2 years,Others,0,No
7591,Female,Filipino,NCR – National Capital Region,Metro Manila,Quezon City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,250000.0,10000,240000.0,More than 2 years,Owned,More than 5 years,Single,0-1,Yes,More than 5 years,Professional/Managerial/Officer,0,Yes
7593,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,71000.0,1500,69500.0,More than 2 years,Free,1-5 years,Single,0-1,No,2-5 years,Others,0,No
7624,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Talisay,Regular Employee,No other source of income,,No,0,24000.0,2500,21500.0,6-12 months,Free,1-5 years,Single,0-1,No,1-2 years,Professional/Managerial/Officer,0,No
7657,Female,Filipino,NCR – National Capital Region,Metro Manila,Pasig,Regular Employee,No other source of income,Yes,No,0,110000.0,18000,92000.0,More than 2 years,Owned,1-5 years,Married,0-1,No,1-2 years,Professional/Managerial/Officer,0,No
7690,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,Yes,No,0,35000.0,5000,30000.0,More than 2 years,Owned,1-5 years,Single,0-1,No,1-2 years,Others,0,No
7723,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,32000.0,6000,26000.0,More than 2 years,Owned,1-5 years,Single,0-1,No,1-2 years,Professional/Non-Officer/Skilled,0,No
7756,Male,Filipino,Region IV‑B – MIMAROPA,Oriental Mindoro,Calapan,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,129000.0,2000,127000.0,More than 2 years,Owned,1-5 years,Single,0-1,,2-5 years,Professional/Non-Officer/Skilled,0,No
7789,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,Yes,No,0,15000.0,8500,6500.0,More than 2 years,Others,1-5 years,Single,0-1,Yes,2-5 years,Professional/Non-Officer/Skilled,0,No
7822,Male,Filipino,NCR – National Capital Region,Metro Manila,Manila,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,75000.0,8000,67000.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Professional/Managerial/Officer,0,No
7855,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Talisay,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,23000.0,15500,7500.0,More than 2 years,Owned,Less than a year,Married,2-3,Yes,Less than 1 year,Others,0,No
7856,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Talisay,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,43000.0,12500,30500.0,More than 2 years,Owned,Less than a year,Married,2-3,Yes,Less than 1 year,Others,0,No
7857,Female,Filipino,NCR – National Capital Region,Metro Manila,Manila,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,39500.0,7000,32500.0,More than 2 years,Free,1-5 years,Single,0-1,No,1-2 years,Professional/Non-Officer/Skilled,0,Yes
7888,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,25900.0,3500,22400.0,More than 2 years,Rented,More than 5 years,Married,0-1,Yes,More than 5 years,Professional/Managerial/Officer,0,No
7954,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,21000.0,6500,14500.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Others,0,No
7955,Female,Filipino,Region IV‑A – CALABARZON,Cavite,Trece Martires,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,30000.0,5000,25000.0,More than 2 years,Free,More than 5 years,Single,0-1,No,More than 5 years,Professional/Non-Officer/Skilled,3500,Yes
7987,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Regular Employee,No other source of income,Yes,No,0,20000.0,2000,18000.0,More than 2 years,Owned,1-5 years,Single,0-1,No,1-2 years,Others,0,No
7988,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Murcia,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,18000.0,25200,-7200.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Professional/Managerial/Officer,0,Yes
8020,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Bacolod City,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,68000.0,7600,60400.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,1-2 years,Professional/Managerial/Officer,0,No
8053,Male,Filipino,Region XI – Davao Region,Davao del Norte,Tagum,Regular Employee,No other source of income,Yes,No,0,135000.0,46500,88500.0,More than 2 years,Owned,More than 5 years,Single,0-1,Yes,More than 5 years,Professional/Managerial/Officer,5000,Yes
8086,Female,Filipino,NCR – National Capital Region,Metro Manila,Valenzuela,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,62769.0,17300,45469.0,More than 2 years,Rented,More than 5 years,Married,2-3,Yes,More than 5 years,Professional/Managerial/Officer,0,Yes
8087,Male,Filipino,Region III – Central Luzon,Nueva Ecija,Santa Rosa,Regular Employee,No other source of income,Yes,No,0,35000.0,6000,29000.0,More than 2 years,Owned,1-5 years,Single,0-1,No,1-2 years,Professional/Non-Officer/Skilled,0,Yes
8088,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Cadiz,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,43000.0,10000,33000.0,More than 2 years,Owned,More than 5 years,Married,more than 3,Yes,More than 5 years,Professional/Managerial/Officer,0,No
8119,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Talisay,Regular Employee,No other source of income,Yes,No,0,17000.0,4500,12500.0,1-2 years,Rented,1-5 years,Single,0-1,Yes,1-2 years,Professional/Managerial/Officer,0,No
8152,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,50570.0,17000,33570.0,More than 2 years,Others,More than 5 years,Married,2-3,Yes,More than 5 years,Professional/Managerial/Officer,2500,Yes
8153,Male,Filipino,Region III – Central Luzon,Bulacan,Meycauayan,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,60000.0,17000,43000.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Professional/Managerial/Officer,0,Yes
