id,gender,citizenship,employment_and_or_business_information,additional_household_member_source_of_income,do_you_have_a_co_borrower,my_spouse_is_my_co_borrower,business_gross_sales,salary,business_net_income,commission,other_income,incentive_commission,other_gig_work_salary,other_income_pension_remittance,total_cash_inflow,miscellaneous,clothing,rental_expenses,salaries_helper,transportation,utilities,household_premium,loan_payments,fuel_lpg,medical_expenses,food_expenses,other_expenses,education_expenses,total_cash_outflow,net_income,years_in_residence,home_ownership,agency_years,marital_status,no_of_children,with_children_attending_school,how_many_years_in_the_company,position,outstanding_obligation_other_loans,do_you_have_deposit_or_credit_cards_with_other_bank
859,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,30000.0,30000,6000,10000.0,0,0,0,76000.0,1000,0,0,0,0,2500,0,0,0,0,5000,0,0,8500,67500.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Others,0,No
892,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,26000.0,0,4500,0.0,0,0,0,30500.0,2500,1500,0,0,0,3500,0,0,0,0,3000,0,2000,12500,18000.0,More than 2 years,Owned,1-5 years,Married,0-1,Yes,2-5 years,Others,0,No
893,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,26000.0,0,4500,0.0,0,0,0,30500.0,2500,1500,0,0,0,3500,0,0,0,0,3000,0,2000,12500,18000.0,More than 2 years,Owned,1-5 years,Married,0-1,Yes,2-5 years,Others,0,No
894,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,263213.5,0,0,0.0,0,0,0,263213.5,10000,5000,12000,0,0,13000,0,0,0,0,25000,0,0,65000,198213.5,More than 2 years,Rented,More than 5 years,Married,more than 3,,More than 5 years,Professional/Non-Officer/Skilled,0,Yes
925,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,250000.0,70000,0,0.0,0,0,0,320000.0,5000,5000,15000,0,0,10000,0,0,0,0,15000,0,15000,65000,255000.0,More than 2 years,Rented,More than 5 years,Married,2-3,,More than 5 years,Professional/Non-Officer/Skilled,10000,Yes
958,Male,Filipino,Regular Employee,No other source of income,Yes,No,0,20000.0,5000,1000,2000.0,0,0,0,28000.0,1000,500,0,0,0,1600,0,0,0,0,5000,0,1000,9100,18900.0,More than 2 years,Owned,1-5 years,Single,0-1,Yes,2-5 years,Others,0,No
991,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,200000.0,0,0,0.0,0,0,0,200000.0,3000,3000,0,0,0,0,0,0,0,0,7000,0,0,13000,187000.0,More than 2 years,Owned,1-5 years,Single,0-1,,2-5 years,Professional/Managerial/Officer,0,No
1024,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,380000.0,0,0,30000.0,0,0,0,410000.0,5000,2000,0,0,0,5000,0,0,0,0,15000,0,5000,32000,378000.0,More than 2 years,Others,1-5 years,Married,0-1,,2-5 years,Professional/Managerial/Officer,0,Yes
1057,Male,Filipino,OFW/Seafarers,No other source of income,Yes,No,0,50000.0,0,0,20000.0,0,0,0,70000.0,0,500,0,0,0,1900,0,0,0,0,5000,0,7000,14400,55600.0,More than 2 years,Free,Less than a year,Married,2-3,No,Less than 1 year,Professional/Non-Officer/Skilled,0,No
1090,Male,Filipino,Project based,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,16000.0,0,3000,20000.0,0,0,0,39000.0,0,1000,0,0,0,3000,0,0,0,0,10000,0,3000,17000,22000.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,0,No
1123,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,217400.0,0,0,0.0,0,0,0,217400.0,0,5000,0,0,0,10000,0,0,0,0,50000,0,30000,95000,122400.0,More than 2 years,Owned,More than 5 years,Married,2-3,,More than 5 years,Others,0,Yes
1156,Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,16110.0,0,0,0.0,0,0,0,16110.0,5000,0,0,0,0,1000,0,0,0,0,5000,0,0,11000,5110.0,More than 2 years,Free,Less than a year,Single,0-1,No,Less than 1 year,Professional/Non-Officer/Skilled,5000,Yes
1189,Male,Filipino,Regular Employee,No other source of income,Yes,No,0,24000.0,0,0,4000.0,0,0,0,28000.0,200,1500,0,0,0,2000,0,0,0,0,4500,0,0,8200,19800.0,More than 2 years,Free,Less than a year,Single,0-1,No,Less than 1 year,Others,0,No
1222,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,171550.0,0,0,0.0,0,0,0,171550.0,10000,0,0,0,0,5000,0,0,0,0,30000,0,20000,65000,106550.0,More than 2 years,Owned,More than 5 years,Married,more than 3,,More than 5 years,Professional/Managerial/Officer,20000,No
1255,Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,0.0,350000,0,0.0,0,0,0,350000.0,3000,3500,0,0,0,7000,0,0,0,0,7500,0,0,21000,329000.0,More than 2 years,Owned,More than 5 years,Married,2-3,No,More than 5 years,Professional/Managerial/Officer,0,Yes
1321,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,20000.0,0,0,10000.0,0,0,0,30000.0,0,0,0,0,0,500,0,0,0,0,3000,0,0,3500,26500.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Others,500,No
1354,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,475000.0,5000,0,150000.0,0,0,0,630000.0,5000,2000,0,0,0,20000,0,0,0,0,10000,0,50000,87000,543000.0,More than 2 years,Owned,1-5 years,Married,2-3,,2-5 years,Professional/Managerial/Officer,0,Yes
1388,Male,Filipino,OFW/Seafarers,No other source of income,Yes,No,0,38400.0,0,0,0.0,0,0,0,38400.0,0,300,200,0,0,600,0,0,0,0,1000,0,0,2100,36300.0,More than 2 years,Others,Less than a year,Married,0-1,No,Less than 1 year,Professional/Non-Officer/Skilled,0,Yes
1420,Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,75000.0,0,0,0.0,0,0,0,75000.0,5000,0,0,0,0,5000,0,0,0,0,7500,0,0,17500,57500.0,More than 2 years,Free,1-5 years,Married,0-1,No,2-5 years,Professional/Managerial/Officer,3700,Yes
1453,Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,35000.0,0,0,42000.0,0,0,0,77000.0,3000,1000,7500,0,0,3000,0,0,0,0,5000,0,0,19500,57500.0,More than 2 years,Rented,Less than a year,Single,0-1,No,Less than 1 year,Professional/Managerial/Officer,2000,Yes
1486,Male,Filipino,Project based,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,90000.0,80000,2000,0.0,0,0,0,172000.0,3000,5000,0,0,0,7000,0,0,0,0,10000,0,26000,51000,121000.0,More than 2 years,Owned,More than 5 years,Married,0-1,Yes,More than 5 years,Professional/Non-Officer/Skilled,0,Yes
1519,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,80000.0,100000,0,0.0,0,0,0,180000.0,12000,0,0,0,0,5000,0,0,0,0,14000,0,0,31000,149000.0,More than 2 years,Free,More than 5 years,Married,2-3,No,More than 5 years,Professional/Non-Officer/Skilled,0,No
1520,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,80000.0,10000,0,0.0,0,0,0,90000.0,0,0,4000,0,0,0,0,0,0,0,5000,0,1000,10000,80000.0,More than 2 years,Rented,More than 5 years,Married,more than 3,Yes,More than 5 years,Professional/Non-Officer/Skilled,800,Yes
1521,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,30000.0,30000,25000,10000.0,0,0,0,95000.0,0,2000,0,0,0,900,0,0,0,0,2000,0,1000,5900,89100.0,More than 2 years,Owned,More than 5 years,Married,more than 3,Yes,More than 5 years,Others,0,No
1522,Male,Filipino,Regular Employee,No other source of income,Yes,No,0,70000.0,0,15000,0.0,0,0,0,85000.0,3000,3000,5000,0,0,3000,0,0,0,0,12000,0,10000,36000,49000.0,6-12 months,Rented,More than 5 years,Single,2-3,Yes,More than 5 years,Professional/Non-Officer/Skilled,0,Yes
1523,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,30000000.0,30000000,0,0.0,0,0,0,60000000.0,500,2000,0,0,0,1500,0,0,0,0,5000,0,5000,14000,59986000.0,More than 2 years,Owned,More than 5 years,Married,more than 3,Yes,More than 5 years,Professional/Managerial/Officer,0,Yes
1553,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,90000.0,60000,17,1.0,0,0,0,150018.0,1,1,11000,0,0,5500,0,0,0,0,15000,0,1,31503,118515.0,More than 2 years,Rented,1-5 years,Married,2-3,No,2-5 years,Others,18500,No
1586,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,60000.0,0,0,0.0,0,0,0,60000.0,0,0,0,0,0,1500,0,0,0,0,20000,0,25000,46500,13500.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Others,0,No
1618,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,15000.0,0,0,0.0,0,0,0,15000.0,0,0,0,0,0,1000,0,0,0,0,10000,0,5000,16000,-1000.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Others,0,Yes
1619,Male,Filipino,Project based,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,115000.0,70000,2000,0.0,0,0,0,187000.0,5000,5000,0,0,0,5000,0,0,0,0,30000,0,10000,55000,132000.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Others,5000,No
1651,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,80000.0,0,0,0.0,0,0,0,80000.0,0,5000,8000,0,0,10000,0,0,0,0,7000,0,0,30000,50000.0,More than 2 years,Rented,More than 5 years,Married,2-3,No,More than 5 years,Others,0,No
1653,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,30000.0,30000,10000,0.0,0,0,0,70000.0,500,500,0,0,0,1500,0,0,0,0,5000,0,500,8000,62000.0,More than 2 years,Others,More than 5 years,Single,2-3,Yes,More than 5 years,Others,0,No
1684,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,50000.0,98000,30000,0.0,0,0,0,178000.0,0,6000,0,0,0,500,0,0,0,0,15000,0,2000,23500,154500.0,More than 2 years,Owned,More than 5 years,Married,more than 3,Yes,More than 5 years,Others,0,No
1685,Male,Filipino,Regular Employee,No other source of income,Yes,No,0,30000.0,30000,10000,0.0,0,0,0,70000.0,300,500,3500,0,0,2000,0,0,0,0,5000,0,1000,12300,57700.0,More than 2 years,Rented,More than 5 years,Single,more than 3,Yes,More than 5 years,Others,0,No
1686,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,80000.0,0,0,0.0,0,0,0,80000.0,0,0,5100,0,0,3000,0,0,0,0,15000,0,0,23100,56900.0,More than 2 years,Owned,1-5 years,Married,more than 3,Yes,2-5 years,Others,164,No
1687,,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,50000.0,0,0,0.0,0,0,0,50000.0,0,3000,0,0,0,5000,0,0,0,0,3000,0,3000,14000,36000.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Others,0,Yes
1688,,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,50000.0,0,0,0.0,0,0,0,50000.0,0,3000,0,0,0,5000,0,0,0,0,3000,0,3000,14000,36000.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Others,0,Yes
1689,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,100000.0,0,0,0.0,0,0,0,100000.0,0,0,6500,0,0,3000,0,0,0,0,15000,0,0,24500,75500.0,More than 2 years,Rented,More than 5 years,Married,0-1,No,More than 5 years,Others,0,No
1690,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,70000.0,0,10000,0.0,0,0,0,80000.0,0,5000,7000,0,0,2500,0,0,0,0,10000,0,0,24500,55500.0,1-2 years,Rented,1-5 years,Married,0-1,No,2-5 years,Others,0,No
1691,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,100000.0,0,6500,0.0,0,0,0,106500.0,0,500,0,0,0,3300,0,0,0,0,10000,0,0,13800,92700.0,More than 2 years,Owned,1-5 years,Married,0-1,No,2-5 years,Others,0,No
1717,Male,Filipino,Project based,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,60000.0,90000,5000,10000.0,0,0,0,165000.0,2000,2000,0,0,0,3000,0,0,0,0,30000,0,10000,47000,118000.0,More than 2 years,Free,More than 5 years,Married,more than 3,Yes,More than 5 years,Others,3000,No
1750,Male,Filipino,Regular Employee,No other source of income,Yes,No,0,85000.0,90000,10,17.0,0,0,0,175027.0,4500,1200,0,0,0,565,0,0,0,0,5000,0,3000,14265,160762.0,More than 2 years,Owned,More than 5 years,Single,2-3,Yes,More than 5 years,Others,2000,No
1783,Male,Filipino,Probationary,No other source of income,Yes,No,0,15000.0,0,0,0.0,0,0,0,15000.0,500,0,1700,0,0,150,0,0,0,0,1500,0,0,3850,11150.0,6-12 months,Rented,1-5 years,Single,2-3,No,2-5 years,Others,0,Yes
1816,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,19000.0,15000,10000,100.0,0,0,0,44100.0,500,1000,100,0,0,700,0,0,0,0,3000,0,1000,6300,37800.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Others,200,No
1817,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,100010.0,20000,10000,15000.0,0,0,0,145010.0,1000,5000,12000,0,0,3000,0,0,0,0,10000,0,20000,51000,94010.0,More than 2 years,Owned,More than 5 years,Married,2-3,,More than 5 years,Professional/Non-Officer/Skilled,4000,Yes
1849,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,200000.0,0,0,0.0,0,0,0,200000.0,0,0,0,0,0,3000,0,0,0,0,8000,0,2000,13000,187000.0,More than 2 years,Owned,Less than a year,Single,0-1,,Less than 1 year,Professional/Non-Officer/Skilled,0,No
1882,Male,Filipino,Regular Employee,No other source of income,Yes,No,0,50000.0,0,3000,0.0,0,0,0,53000.0,0,5000,3500,0,0,7000,0,0,0,0,12000,0,0,27500,25500.0,More than 2 years,Rented,1-5 years,Single,0-1,No,2-5 years,Others,0,No
1915,Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,11239.0,0,0,0.0,0,0,0,11239.0,200,300,1300,0,0,440,0,0,0,0,1500,0,0,3740,7499.0,1-2 years,Others,1-5 years,Single,2-3,Yes,2-5 years,Others,0,No
1948,Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,80000.0,1000000,0,0.0,0,0,0,1080000.0,5000,1500,0,0,0,6000,0,0,0,0,13000,0,7000,32500,1047500.0,More than 2 years,Owned,More than 5 years,Married,0-1,Yes,More than 5 years,Professional/Managerial/Officer,17000,Yes
2047,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,80000.0,120000,10000,0.0,0,0,0,210000.0,0,0,0,0,0,2000,0,0,0,0,5000,0,0,7000,203000.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Professional/Non-Officer/Skilled,0,No
2113,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,55000.0,25000,30000,10000.0,0,0,0,120000.0,5000,5000,0,0,0,3000,0,0,0,0,15000,0,5000,33000,87000.0,More than 2 years,Owned,More than 5 years,Married,0-1,,More than 5 years,Others,1000,Yes
2146,Female,Filipino,Regular Employee,No other source of income,Yes,No,0,23000.0,0,10000,0.0,0,0,0,33000.0,2000,0,0,0,0,5000,0,0,0,0,2000,0,0,9000,24000.0,More than 2 years,Free,Less than a year,Single,0-1,No,Less than 1 year,Professional/Managerial/Officer,20000,Yes
2212,Male,Filipino,Project based,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,40000.0,40000,0,0.0,0,0,0,80000.0,10000,5000,10000,0,0,3000,0,0,0,0,15000,0,0,43000,37000.0,More than 2 years,Free,Less than a year,Married,0-1,No,Less than 1 year,Professional/Managerial/Officer,0,No
2245,Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,35000.0,0,0,23760.0,0,0,0,58760.0,0,500,0,0,0,2000,0,0,0,0,1000,0,0,3500,55260.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Professional/Non-Officer/Skilled,0,Yes
2278,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1-2 years,Owned,Less than a year,Single,0-1,No,Less than 1 year,Others,0,No
2311,Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,25000.0,0,0,32000.0,0,0,0,57000.0,0,0,5000,0,0,6000,0,0,0,0,5000,0,0,16000,41000.0,More than 2 years,Rented,1-5 years,Single,0-1,No,2-5 years,Others,0,No
2312,Female,Filipino,Regular Employee,No other source of income,Yes,No,0,25000.0,0,0,0.0,0,0,0,25000.0,0,0,0,0,0,4000,0,0,0,0,3000,0,0,7000,18000.0,More than 2 years,Free,Less than a year,Single,2-3,,Less than 1 year,Professional/Non-Officer/Skilled,0,No
2313,Female,Filipino,Regular Employee,No other source of income,Yes,No,0,19500.0,10000,0,8000.0,0,0,0,37500.0,0,0,0,0,0,4000,0,0,0,0,5000,0,2500,11500,26000.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Others,0,Yes
2345,Male,Filipino,Regular Employee,No other source of income,Yes,No,0,20000.0,1000,5000,1000.0,0,0,0,27000.0,500,500,2000,0,0,500,0,0,0,0,2000,0,1000,6500,20500.0,More than 2 years,Rented,Less than a year,Married,more than 3,Yes,Less than 1 year,Others,100,No
2377,Male,Filipino,Probationary,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,30000.0,0,3000,5000.0,0,0,0,38000.0,500,500,1500,0,0,150,0,0,0,0,1500,0,3000,7150,30850.0,6-12 months,Rented,1-5 years,Married,2-3,Yes,2-5 years,Others,0,No
2378,Male,Filipino,Probationary,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,30000.0,0,3000,5000.0,0,0,0,38000.0,500,500,1500,0,0,150,0,0,0,0,1500,0,3000,7150,30850.0,6-12 months,Rented,1-5 years,Married,2-3,Yes,2-5 years,Others,0,No
2410,Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,150000.0,0,50000,25000.0,0,0,0,225000.0,1000,2000,0,0,0,10000,0,0,0,0,5000,0,8000,26000,199000.0,More than 2 years,Owned,More than 5 years,Married,0-1,,More than 5 years,Professional/Managerial/Officer,10000,Yes
2443,Male,Filipino,Regular Employee,No other source of income,Yes,No,0,29500.0,0,4000,0.0,0,0,0,33500.0,5000,2000,4000,0,0,5000,0,0,0,0,3000,0,0,19000,14500.0,More than 2 years,Rented,More than 5 years,Single,2-3,No,More than 5 years,Professional/Managerial/Officer,0,No
2444,Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,150000.0,25000,50000,150000.0,0,0,0,375000.0,1000,2000,0,0,0,10000,0,0,0,0,5000,0,8000,26000,349000.0,More than 2 years,Owned,Less than a year,Married,0-1,Yes,Less than 1 year,Others,10000,Yes
2476,Male,Filipino,Regular Employee,No other source of income,Yes,No,0,22882.0,0,3000,10000.0,0,0,0,35882.0,0,0,0,0,0,0,0,0,0,0,3000,0,0,3000,32882.0,More than 2 years,Free,More than 5 years,Single,0-1,No,More than 5 years,Professional/Managerial/Officer,0,No
2477,Male,Filipino,Regular Employee,No other source of income,Yes,No,0,22882.0,0,3000,10000.0,0,0,0,35882.0,0,0,0,0,0,0,0,0,0,0,3000,0,0,3000,32882.0,More than 2 years,Free,More than 5 years,Single,0-1,No,More than 5 years,Professional/Non-Officer/Skilled,0,No
2542,Male,Filipino,Regular Employee,No other source of income,Yes,No,0,15000.0,0,0,20000.0,0,0,0,35000.0,4000,0,0,0,0,0,0,0,0,0,2000,0,0,6000,29000.0,More than 2 years,Free,1-5 years,Separated,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,0,No
