gender,citizenship,employment_and_or_business_information,additional_household_member_source_of_income,do_you_have_a_co_borrower,my_spouse_is_my_co_borrower,business_gross_sales,salary,business_net_income,commission,other_income,incentive_commission,other_gig_work_salary,other_income_pension_remittance,total_cash_inflow,miscellaneous,clothing,rental_expenses,salaries_helper,transportation,utilities,household_premium,loan_payments,fuel_lpg,medical_expenses,food_expenses,other_expenses,education_expenses,total_cash_outflow,net_income,years_in_residence,home_ownership,agency_years,marital_status,no_of_children,with_children_attending_school,how_many_years_in_the_company,position,outstanding_obligation_other_loans,do_you_have_deposit_or_credit_cards_with_other_bank,credit_score
Male,Filipino,Project based,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,16000.0,0.0,3000.0,20000.0,0.0,0.0,0.0,39000.0,0.0,1000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,10000.0,0.0,3000.0,17000.0,22000.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,0.0,No,61
Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,217400.0,0.0,0.0,0.0,0.0,0.0,0.0,217400.0,0.0,5000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,50000.0,0.0,30000.0,95000.0,122400.0,More than 2 years,Owned,More than 5 years,Married,2-3,No,More than 5 years,Others,0.0,Yes,61
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,16110.0,0.0,0.0,0.0,0.0,0.0,0.0,16110.0,5000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,11000.0,5110.0,More than 2 years,Free,Less than a year,Single,0-1,No,Less than 1 year,Professional/Non-Officer/Skilled,5000.0,Yes,56
Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,24000.0,0.0,0.0,4000.0,0.0,0.0,0.0,28000.0,200.0,1500.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,8200.0,19800.0,More than 2 years,Free,Less than a year,Single,0-1,No,Less than 1 year,Others,0.0,No,54
Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,171550.0,0.0,0.0,0.0,0.0,0.0,0.0,171550.0,10000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,30000.0,0.0,20000.0,65000.0,106550.0,More than 2 years,Owned,More than 5 years,Married,more than 3,No,More than 5 years,Professional/Managerial/Officer,20000.0,No,62
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,0.0,350000.0,0.0,0.0,0.0,0.0,0.0,350000.0,3000.0,3500.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,21000.0,329000.0,More than 2 years,Owned,More than 5 years,Married,2-3,No,More than 5 years,Professional/Managerial/Officer,0.0,Yes,66
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,20000.0,0.0,0.0,10000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,3500.0,26500.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Others,500.0,No,55
Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,475000.0,5000.0,0.0,150000.0,0.0,0.0,0.0,630000.0,5000.0,2000.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,10000.0,0.0,50000.0,87000.0,543000.0,More than 2 years,Owned,1-5 years,Married,2-3,No,2-5 years,Professional/Managerial/Officer,0.0,Yes,64
Male,Filipino,OFW/Seafarers,No other source of income,Yes,No,0.0,38400.0,0.0,0.0,0.0,0.0,0.0,0.0,38400.0,0.0,300.0,200.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,2100.0,36300.0,More than 2 years,Others,Less than a year,Married,0-1,No,Less than 1 year,Professional/Non-Officer/Skilled,0.0,Yes,54
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,17500.0,57500.0,More than 2 years,Free,1-5 years,Married,0-1,No,2-5 years,Professional/Managerial/Officer,3700.0,Yes,64
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,35000.0,0.0,0.0,42000.0,0.0,0.0,0.0,77000.0,3000.0,1000.0,7500.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,19500.0,57500.0,More than 2 years,Rented,Less than a year,Single,0-1,No,Less than 1 year,Professional/Managerial/Officer,2000.0,Yes,55
Male,Filipino,Project based,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,90000.0,80000.0,2000.0,0.0,0.0,0.0,0.0,172000.0,3000.0,5000.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,10000.0,0.0,26000.0,51000.0,121000.0,More than 2 years,Owned,More than 5 years,Married,0-1,Yes,More than 5 years,Professional/Non-Officer/Skilled,0.0,Yes,65
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,80000.0,100000.0,0.0,0.0,0.0,0.0,0.0,180000.0,12000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,31000.0,149000.0,More than 2 years,Free,More than 5 years,Married,2-3,No,More than 5 years,Professional/Non-Officer/Skilled,0.0,No,60
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,80000.0,10000.0,0.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,1000.0,10000.0,80000.0,More than 2 years,Rented,More than 5 years,Married,more than 3,Yes,More than 5 years,Professional/Non-Officer/Skilled,800.0,Yes,60
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,30000.0,30000.0,25000.0,10000.0,0.0,0.0,0.0,95000.0,0.0,2000.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,2000.0,0.0,1000.0,5900.0,89100.0,More than 2 years,Owned,More than 5 years,Married,more than 3,Yes,More than 5 years,Others,0.0,No,61
Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,70000.0,0.0,15000.0,0.0,0.0,0.0,0.0,85000.0,3000.0,3000.0,5000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,12000.0,0.0,10000.0,36000.0,49000.0,6-12 months,Rented,More than 5 years,Single,2-3,Yes,More than 5 years,Professional/Non-Officer/Skilled,0.0,Yes,56
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,30000000.0,30000000.0,0.0,0.0,0.0,0.0,0.0,60000000.0,500.0,2000.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,14000.0,59986000.0,More than 2 years,Owned,More than 5 years,Married,more than 3,Yes,More than 5 years,Professional/Managerial/Officer,0.0,Yes,67
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,90000.0,60000.0,17.0,1.0,0.0,0.0,0.0,150018.0,1.0,1.0,11000.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,15000.0,0.0,1.0,31503.0,118515.0,More than 2 years,Rented,1-5 years,Married,2-3,No,2-5 years,Others,18500.0,No,54
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,20000.0,0.0,25000.0,46500.0,13500.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Others,0.0,No,62
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,10000.0,0.0,5000.0,16000.0,-1000.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Others,0.0,Yes,63
Male,Filipino,Project based,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,115000.0,70000.0,2000.0,0.0,0.0,0.0,0.0,187000.0,5000.0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,30000.0,0.0,10000.0,55000.0,132000.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Others,5000.0,No,60
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,5000.0,8000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,30000.0,50000.0,More than 2 years,Rented,More than 5 years,Married,2-3,No,More than 5 years,Others,0.0,No,55
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,30000.0,30000.0,10000.0,0.0,0.0,0.0,0.0,70000.0,500.0,500.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,5000.0,0.0,500.0,8000.0,62000.0,More than 2 years,Others,More than 5 years,Single,2-3,Yes,More than 5 years,Others,0.0,No,50
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,50000.0,98000.0,30000.0,0.0,0.0,0.0,0.0,178000.0,0.0,6000.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,15000.0,0.0,2000.0,23500.0,154500.0,More than 2 years,Owned,More than 5 years,Married,more than 3,Yes,More than 5 years,Others,0.0,No,61
Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,30000.0,30000.0,10000.0,0.0,0.0,0.0,0.0,70000.0,300.0,500.0,3500.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,5000.0,0.0,1000.0,12300.0,57700.0,More than 2 years,Rented,More than 5 years,Single,more than 3,Yes,More than 5 years,Others,0.0,No,53
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,5100.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,23100.0,56900.0,More than 2 years,Owned,1-5 years,Married,more than 3,Yes,2-5 years,Others,164.0,No,60
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,3000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,14000.0,36000.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Others,0.0,Yes,64
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,3000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,14000.0,36000.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Others,0.0,Yes,64
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,6500.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,24500.0,75500.0,More than 2 years,Rented,More than 5 years,Married,0-1,No,More than 5 years,Others,0.0,No,53
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,70000.0,0.0,10000.0,0.0,0.0,0.0,0.0,80000.0,0.0,5000.0,7000.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,24500.0,55500.0,1-2 years,Rented,1-5 years,Married,0-1,No,2-5 years,Others,0.0,No,54
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,100000.0,0.0,6500.0,0.0,0.0,0.0,0.0,106500.0,0.0,500.0,0.0,0.0,0.0,3300.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,13800.0,92700.0,More than 2 years,Owned,1-5 years,Married,0-1,No,2-5 years,Others,0.0,No,60
Male,Filipino,Project based,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,60000.0,90000.0,5000.0,10000.0,0.0,0.0,0.0,165000.0,2000.0,2000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,30000.0,0.0,10000.0,47000.0,118000.0,More than 2 years,Free,More than 5 years,Married,more than 3,Yes,More than 5 years,Others,3000.0,No,57
Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,85000.0,90000.0,10.0,17.0,0.0,0.0,0.0,175027.0,4500.0,1200.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,0.0,5000.0,0.0,3000.0,14265.0,160762.0,More than 2 years,Owned,More than 5 years,Single,2-3,Yes,More than 5 years,Others,2000.0,No,59
Male,Filipino,Probationary,No other source of income,Yes,No,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,500.0,0.0,1700.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,3850.0,11150.0,6-12 months,Rented,1-5 years,Single,2-3,No,2-5 years,Others,0.0,Yes,48
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,19000.0,15000.0,10000.0,100.0,0.0,0.0,0.0,44100.0,500.0,1000.0,100.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,3000.0,0.0,1000.0,6300.0,37800.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Others,200.0,No,61
Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,100010.0,20000.0,10000.0,15000.0,0.0,0.0,0.0,145010.0,1000.0,5000.0,12000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,10000.0,0.0,20000.0,51000.0,94010.0,More than 2 years,Owned,More than 5 years,Married,2-3,No,More than 5 years,Professional/Non-Officer/Skilled,4000.0,Yes,63
Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,8000.0,0.0,2000.0,13000.0,187000.0,More than 2 years,Owned,Less than a year,Single,0-1,No,Less than 1 year,Professional/Non-Officer/Skilled,0.0,No,55
Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,50000.0,0.0,3000.0,0.0,0.0,0.0,0.0,53000.0,0.0,5000.0,3500.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,27500.0,25500.0,More than 2 years,Rented,1-5 years,Single,0-1,No,2-5 years,Others,0.0,No,52
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,11239.0,0.0,0.0,0.0,0.0,0.0,0.0,11239.0,200.0,300.0,1300.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,3740.0,7499.0,1-2 years,Others,1-5 years,Single,2-3,Yes,2-5 years,Others,0.0,No,48
